t,h
5.151171875000000000e+01,-5.208529730629334927e-26
5.151269531250000000e+01,3.424157095433160090e-26
5.151367187500000000e+01,1.057324468822663527e-26
5.151464843750000000e+01,-4.352933730910374389e-26
5.151562500000000000e+01,4.966060557329484472e-26
5.151660156250000000e+01,-8.997522436600449354e-27
5.151757812500000000e+01,-4.247596554504269251e-26
5.151855468750000000e+01,4.783421511730464795e-26
5.151953125000000000e+01,-5.544397844495862976e-26
5.152050781250000000e+01,1.815349193708558586e-27
5.152148437500000000e+01,6.095153728976262741e-26
5.152246093750000000e+01,-6.160121134844249718e-26
5.152343750000000000e+01,1.927163977900746911e-26
5.152441406250000000e+01,2.817444840171683027e-26
5.152539062500000000e+01,-5.949453422982310832e-26
5.152636718750000000e+01,3.254059685845493486e-26
5.152734375000000000e+01,2.636055957577957871e-27
5.152832031250000000e+01,-3.470069129936316463e-26
5.152929687500000000e+01,4.660382175804129744e-26
5.153027343750000000e+01,-3.244599054385127308e-27
5.153125000000000000e+01,-2.763631000954693668e-26
5.153222656250000000e+01,6.947182329980721763e-26
5.153320312500000000e+01,-3.113612728576756838e-26
5.153417968750000000e+01,-1.117425275833691676e-26
5.153515625000000000e+01,5.595173384984363190e-26
5.153613281250000000e+01,-5.171219063931611363e-26
5.153710937500000000e+01,1.114147300839658679e-27
5.153808593750000000e+01,5.129317949178481457e-26
5.153906250000000000e+01,-4.650200246554246296e-26
5.154003906250000000e+01,2.898631205349876004e-26
5.154101562500000000e+01,7.193417339173542639e-27
5.154199218750000000e+01,-4.980428573572254406e-26
5.154296875000000000e+01,3.315167410076354860e-26
5.154394531250000000e+01,-6.000928924608302780e-27
5.154492187500000000e+01,-4.271064781905897950e-26
5.154589843750000000e+01,6.158930611282052750e-26
5.154687500000000000e+01,-3.069191844712023106e-26
5.154785156250000000e+01,-2.432923826910214443e-26
5.154882812500000000e+01,4.327270812814927655e-26
5.154980468750000000e+01,-6.635268474427482986e-26
5.155078125000000000e+01,2.281917838731399042e-27
5.155175781250000000e+01,3.844446271960664256e-26
5.155273437500000000e+01,-5.092303627157079123e-26
5.155371093750000000e+01,1.923059386866401925e-26
5.155468750000000000e+01,2.191454464347358961e-26
5.155566406250000000e+01,-4.577622961663462854e-26
5.155664062500000000e+01,3.051874640354281057e-26
5.155761718750000000e+01,1.766852649323651534e-26
5.155859375000000000e+01,-4.416641466355405072e-26
5.155957031250000000e+01,3.825722820758504509e-26
5.156054687500000000e+01,-2.647519010397796750e-26
5.156152343750000000e+01,-2.333376550123935334e-26
5.156250000000000000e+01,3.625143200079159647e-26
5.156347656250000000e+01,-4.142526297805149125e-26
5.156445312500000000e+01,-3.515117537018638837e-28
5.156542968750000000e+01,4.125888999093584201e-26
5.156640625000000000e+01,-4.878077513690286539e-26
5.156738281250000000e+01,2.829832622117887943e-26
5.156835937500000000e+01,3.822023194222175734e-26
5.156933593750000000e+01,-4.690802068110717197e-26
5.157031250000000000e+01,3.674486619860508662e-26
5.157128906250000000e+01,-1.845741197597591734e-27
5.157226562500000000e+01,-6.919580881206531449e-26
5.157324218750000000e+01,4.854175416009374764e-26
5.157421875000000000e+01,-2.505295903702060173e-26
5.157519531250000000e+01,-2.725741087019957202e-26
5.157617187500000000e+01,5.648273258250484599e-26
5.157714843750000000e+01,-2.782045858014148236e-26
5.157812500000000000e+01,-3.329540914104260801e-27
5.157910156250000000e+01,5.737325789227078678e-26
5.158007812500000000e+01,-5.824220461693060928e-26
5.158105468750000000e+01,-1.509580291035880825e-28
5.158203125000000000e+01,2.657673537896618701e-26
5.158300781250000000e+01,-3.815080456409359403e-26
5.158398437500000000e+01,2.480649931936720895e-26
5.158496093750000000e+01,1.225554902248378481e-26
5.158593750000000000e+01,-6.488463313397750073e-26
5.158691406250000000e+01,4.027142177234674899e-26
5.158789062500000000e+01,3.243048130032367702e-27
5.158886718750000000e+01,-2.417214189328381878e-26
5.158984375000000000e+01,6.167961866339644634e-26
5.159082031250000000e+01,-6.032469151172447214e-27
5.159179687500000000e+01,-2.677635671621322712e-26
5.159277343750000000e+01,4.692544406982684658e-26
5.159375000000000000e+01,-4.234539076934056147e-26
5.159472656250000000e+01,4.639995200984109785e-27
5.159570312500000000e+01,4.560431075726330862e-26
5.159667968750000000e+01,-5.237944792437725268e-26
5.159765625000000000e+01,2.571144303739443861e-26
5.159863281250000000e+01,2.165531022220528432e-26
5.159960937500000000e+01,-3.628781134079139303e-26
5.160058593750000000e+01,1.033883800173924095e-26
5.160156250000000000e+01,5.634643826558027991e-27
5.160253906250000000e+01,-6.520577787577576829e-26
5.160351562500000000e+01,4.204897248562054164e-26
5.160449218750000000e+01,-1.473757798627485435e-26
5.160546875000000000e+01,-4.940341735461915229e-27
5.160644531250000000e+01,3.623028386521877792e-26
5.160742187500000000e+01,-2.724422278297095249e-26
5.160839843750000000e+01,9.298888328394344926e-27
5.160937500000000000e+01,5.967508529336082515e-26
5.161035156250000000e+01,-4.299474249693824616e-26
5.161132812500000000e+01,-4.942168562194170449e-27
5.161230468750000000e+01,3.538257044634210242e-26
5.161328125000000000e+01,-4.396309014877548304e-26
5.161425781250000000e+01,3.180562148110375918e-26
5.161523437500000000e+01,1.867953727804613596e-26
5.161621093750000000e+01,-5.419187744565665916e-26
5.161718750000000000e+01,4.349611040600018057e-26
5.161816406250000000e+01,-6.163844187376418345e-27
5.161914062500000000e+01,-3.275992996974826881e-26
5.162011718750000000e+01,5.177666553691770740e-26
5.162109375000000000e+01,-3.606548017060308200e-26
5.162207031250000000e+01,-2.124574761171570652e-26
5.162304687500000000e+01,3.683080265253178396e-26
5.162402343750000000e+01,-4.437898713101498262e-26
5.162500000000000000e+01,-1.915193470224874251e-26
5.162597656250000000e+01,4.143317451698715161e-26
5.162695312500000000e+01,-5.046271925381601759e-26
5.162792968750000000e+01,4.882828945215935935e-26
5.162890625000000000e+01,1.925349350193193929e-26
